Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj							
TIGR00460	6.557295281	0.274208134	0.331016824	0.828381261	0.407454615	0.743051722	Protein synthesis		fmt	methionyl-tRNA formyltransferase	fmt	2.1.2.9	"The top-scoring characterized proteins other than methionyl-tRNA formyltransferase (fmt) itself are formyltetrahydrofolate dehydrogenases. The mitochondrial methionyl-tRNA formyltransferases are so divergent that, in a multiple alignment of bacterial fmt, mitochondrial fmt, and formyltetrahydrofolate dehydrogenases, the mitochondrial fmt appears the most different. However, because both bacterial and mitochondrial fmt are included in the seed alignment, all credible fmt sequences score higher than any non-fmt sequence. This enzyme modifies Met on initiator tRNA to f-Met."
TIGR00365	30.43496244	0.202645001	0.244772706	0.827890514	0.407732508	0.743051722	Energy metabolism		TIGR00365	"monothiol glutaredoxin, Grx4 family"	grxD	NA	"The gene for the member of this glutaredoxin family in E. coli, originally designated ydhD, is now designated grxD. Its protein, Grx4, is a monothiol glutaredoxin similar to Grx5 of yeast, which is involved in iron-sulfur cluster formation."
TIGR02614	17.42268325	0.184149653	0.223608388	0.823536426	0.410203011	0.74406033	Cellular processes		ftsW	cell division protein FtsW	ftsW	NA	"This family consists of FtsW, an integral membrane protein with ten transmembrane segments [1]. In general, it is one of two paralogs involved in peptidoglycan biosynthesis, the other being RodA, and is essential for cell division. All members of the seed alignment for this model are encoded in operons for the biosynthesis of UDP-N-acetylmuramoyl-pentapeptide, a precursor of murein (peptidoglycan). The FtsW designation is not used in endospore-forming bacterial (e.g. Bacillus subtilis), where the member of this family is designated SpoVE and three or more RodA/FtsW/SpoVE family paralogs are present. SpoVE acts in spore cortex formation and is dispensible for growth. Biological rolls for FtsW in cell division include recruitment of penicillin-binding protein 3 to the division site."
TIGR00433	11.30314453	-0.283061155	0.344220074	-0.822326111	0.41089132	0.74406033	"Biosynthesis of cofactors, prosthetic groups, and carriers"		bioB	biotin synthase	bioB	2.8.1.6	Catalyzes the last step of the biotin biosynthesis pathway. All members of the seed alignment are in the immediate gene neighborhood of a bioA gene.
TIGR00780	20.28170593	-0.639911546	0.778519331	-0.821959739	0.411099811	0.74406033	Energy metabolism		ccoN	"cytochrome c oxidase, cbb3-type, subunit I"	ccoN	1.9.3.1	"This HMM represents the largest subunit, I, of the ccb3-type cytochrome c oxidase, with two protohemes and copper. Gene symbols ccoN and fixN are synonymous."
TIGR02885	32.84578721	0.27040139	0.32925635	0.821248824	0.411504551	0.74406033	Transcription		spore_sigF	RNA polymerase sigma-F factor	sigF	NA	"Members of this protein family are the RNA polymerase sigma factor F. Sigma-F is specifically and universally a component of the Firmicutes lineage endospore formation program, and is expressed in the forespore to turn on expression of dozens of genes. It is closely homologous to sigma-G, which is also expressed in the forespore."
TIGR00884	29.42935949	0.178566481	0.217615135	0.820560943	0.411896402	0.74406033	"Purines, pyrimidines, nucleosides, and nucleotides"		guaA_Cterm	"GMP synthase (glutamine-hydrolyzing), C-terminal domain or B subunit"	guaA	6.3.5.2	"This protein of purine de novo biosynthesis is well-conserved. However, it appears to split into two separate polypeptide chains in most of the Archaea. This C-terminal region would be the larger subunit"
TIGR01364	19.97801593	-0.274025434	0.334169779	-0.820018601	0.412205503	0.74406033	Amino acid biosynthesis		serC_1	phosphoserine aminotransferase	serC	2.6.1.52	This HMM represents the common form of the phosphoserine aminotransferase SerC. The phosphoserine aminotransferase of the archaeon Methanosarcina barkeri and putative phosphoserine aminotransferase of Mycobacterium tuberculosis are represented by separate models. All are members of the class V aminotransferases (PF00266).
TIGR02660	22.0758351	0.206208106	0.252415463	0.816939278	0.41396313	0.74547082	Central intermediary metabolism		nifV_homocitr	homocitrate synthase NifV	nifV	2.3.3.14	"This family consists of the NifV clade of homocitrate synthases, most of which are found in operons for nitrogen fixation. Members are closely homologous to enzymes that include"
TIGR01062	55.29266861	0.105076873	0.128714343	0.816357146	0.414295899	0.74547082	DNA metabolism		parC_Gneg	"DNA topoisomerase IV, A subunit, proteobacterial"	parC	5.99.1.-	"Operationally, topoisomerase IV is a type II topoisomerase required for the decatenation of chromosome segregation. Not every bacterium has both a topo II and a topo IV. The topo IV families of the Gram-positive bacteria and the Gram-negative bacteria appear not to represent a single clade among the type II topoisomerases, and are represented by separate models for this reason."
TIGR01759	22.08862467	0.201712202	0.247534006	0.814886833	0.415137091	0.745806225	NA		MalateDH-SF1	malate dehydrogenase	NA	1.1.1.-	This model represents a family of malate dehydrogenases in bacteria and eukaryotes which utilize either NAD or NADP depending on the species and context.
TIGR03497	17.82863864	-0.207339911	0.25559265	-0.811212338	0.417243741	0.746990188	Cellular processes		FliI_clade2	flagellar protein export ATPase FliI	fliI	3.6.3.14	Members of this protein family are the FliI protein of bacterial flagellum systems. This protein acts to drive protein export for flagellar biosynthesis. The most closely related family is the YscN family of bacterial type III secretion systems.
TIGR01075	24.14255836	-0.154575482	0.190618058	-0.810917303	0.417413163	0.746990188	DNA metabolism		uvrD	DNA helicase II	uvrD	3.6.4.12	Designed to identify uvrD members of the uvrD/rep subfamily.
TIGR00088	39.36699102	0.224286803	0.276792294	0.810307252	0.417763608	0.746990188	Protein synthesis		trmD	tRNA (guanine-N1)-methyltransferase	trmD	2.1.1.228	"This model is specfic for the tRNA modification enzyme tRNA (guanine-N1)-methyltransferase (trmD). This enzyme methylates guanosime-37 in a number of tRNAs.The enzymes catalytic activity is as follows: 
CC"
TIGR02156	16.18523	-0.305898819	0.378933766	-0.807261971	0.419515569	0.748085177	Energy metabolism		PA_CoA_Oxy1	"phenylacetate-CoA oxygenase, PaaG subunit"	paaG	NA	"Phenylacetate-CoA oxygenase is comprised of a five gene complex responsible for the hydroxylation of phenylacetate-CoA (PA-CoA) as the second catabolic step in phenylacetic acid (PA) degradation [1,2]. Although the exact function of this enzyme has not been determined, it has been shown to be required for phenylacetic acid degradation and has been proposed to function in a multicomponent oxygenase acting on phenylacetate-CoA [2]."
TIGR00857	7.946551585	-0.257892421	0.319585169	-0.806959917	0.419689577	0.748085177	"Purines, pyrimidines, nucleosides, and nucleotides"		pyrC_multi	"dihydroorotase, multifunctional complex type"	pyrC	3.5.2.3	"In contrast to the homodimeric type of dihydroorotase found in E. coli, this class tends to appear in a large, multifunctional complex with aspartate transcarbamoylase. Homologous domains appear in multifunctional proteins of higher eukaryotes. In some species, including Pseudomonas putida and P. aeruginosa, this protein is inactive but is required as a non-catalytic subunit of aspartate transcarbamoylase (ATCase). In these species, a second, active dihydroorotase is also present. The seed for this model does not include any example of the dihydroorotase domain of eukaryotic multidomain pyrimidine synthesis proteins. All proteins described by this HMM should represent active and inactive dihydroorotase per se and functionally equivalent domains of multifunctional proteins from higher eukaryotes, but exclude related proteins such as allantoinase."
TIGR01824	8.336704491	-0.209709794	0.261534388	-0.801844055	0.422643171	0.750857267	NA		PabB-clade2	"aminodeoxychorismate synthase, component I, clade 2"	pabB	2.6.1.85	"This clade of sequences is more closely related to TrpE (anthranilate synthase, TIGR00564/TIGR01820/TIGR00565) than to the better characterized group of PabB enzymes (TIGR00553/TIGR01823). Many of the sequences hit by this model are annotated as TrpE enzymes, however, we believe that all members of this clade are, in fact, PabB. The sequences from Bacillus halodurans and subtilus which score below the trusted cutoff for this model are also likely to be PabB enzymes, but are too closely related to TrpE to be separated at this time."
TIGR00635	19.59514644	0.245723418	0.30678483	0.80096339	0.423152841	0.750857267	DNA metabolism		ruvB	"Holliday junction DNA helicase, RuvB subunit"	ruvB	3.6.4.12	"All proteins in this family for which functions are known are 5-3 DNA helicases that, as part of a complex with RuvA homologs serve as a 5-3 Holliday junction helicase. RuvA specifically binds Holliday junctions as a sandwich of two tetramers and maintains the configuration of the junction. It forms a complex with two hexameric rings of RuvB, the subunit that contains helicase activity. The complex drives ATP-dependent branch migration of the Holliday junction recombination intermediate. The endonuclease RuvC resolves junctions."
TIGR01236	24.03929458	-0.222347904	0.277642256	-0.800843166	0.423222446	0.750857267	Energy metabolism		D1pyr5carbox1	"delta-1-pyrroline-5-carboxylate dehydrogenase, group 1"	pruA	1.2.1.88	"This model represents one of two related branches of delta-1-pyrroline-5-carboxylate dehydrogenase. The two branches are not as closely related to each other as some aldehyde dehydrogenases are to this branch, and separate models are built for this reason. The enzyme is the second of two in the degradation of proline to glutamate."
TIGR00630	118.4731765	0.181874732	0.228177702	0.797074958	0.425407499	0.752809004	DNA metabolism		uvra	"excinuclease ABC, A subunit"	uvrA	3.1.25.-	"This family is a member of the ABC transporter superfamily of proteins of which all members for which functions are known except the UvrA proteins are involved in the transport of material through membranes. This family is based on the phylogenomic analysis of JA Eisen (1999, Ph.D. Thesis, Stanford University)."
TIGR00064	28.64260667	0.141675116	0.177834788	0.796667052	0.425644424	0.752809004	Protein fate		ftsY	signal recognition particle-docking protein FtsY	ftsY	NA	"There is a weak division between FtsY and SRP54; both are GTPases. In E.coli, ftsY is an essential gene located in an operon with cell division genes ftsE and ftsX, but its apparent function is as the signal recognition particle docking protein."
TIGR03820	19.2977091	0.249694789	0.314265807	0.794533747	0.426884771	0.753832177	NA		lys_2_3_AblA	"lysine-2,3-aminomutase"	ablA	5.4.3.2	"This model describes lysine-2,3-aminomutase as found along with beta-lysine acetyltransferase in a two-enzyme pathway for making the compatible solute N-epsilon-acetyl-beta-lysine. This compatible solute, or osmolyte, is known to protect a number of methanogenic archaea against salt stress. The trusted cutoff distinguishes a tight clade with essentially full-length homology from additional homologs that are shorter or highly diverged in the C-terminal region. All members of this family have the radical SAM motif CXXXCXXC, while some but not all have a second copy of the motif in the C-terminal region."
TIGR00513	23.17978966	-0.199728614	0.252386827	-0.791359108	0.428734465	0.753946736	Fatty acid and phospholipid metabolism		accA	"acetyl-CoA carboxylase, carboxyl transferase, alpha subunit"	accA	6.4.1.2	"The enzyme acetyl-CoA carboxylase contains a biotin carboxyl carrier protein or domain, a biotin carboxylase, and a carboxyl transferase. This model represents the alpha chain of the carboxyl transferase for cases in which the architecture of the protein is as in E. coli, in which the carboxyltransferase portion consists of two non-identical subnits, alpha and beta."
TIGR03470	78.75615064	0.283156915	0.358296296	0.79028703	0.42936016	0.753946736	NA		HpnH	hopanoid biosynthesis associated radical SAM protein HpnH	hpnH	NA	The sequences represented by this model are members of the radical SAM superfamily of enzymes (PF04055).
TIGR00390	84.71410723	0.14515642	0.183923081	0.789223515	0.42998138	0.753946736	Protein fate		hslU	"ATP-dependent protease HslVU, ATPase subunit"	hslU	NA	"This model represents the ATPase subunit of HslVU, while the proteasome-related peptidase subunit is HslV. Residues 54-61 of the model contain a P-loop ATP-binding motif. Cys-287 of E. coli (position 308 in the seed alignment), studied in MEDLINE:98389714, is Ser in other members of the seed alignment."
TIGR01277	36.00357023	0.224787055	0.284889785	0.789031643	0.430093513	0.753946736	Transport and binding proteins		thiQ	"thiamine ABC transporter, ATP-binding protein"	thiQ	3.6.3.-	"This HMM describes the energy-transducing ATPase subunit ThiQ of the ThiBPQ thiamine (and thiamine pyrophosphate) ABC transporter in several Proteobacteria. This protein is found so far only in Proteobacteria, and is found in complete genomes only if the ThiB and ThiP subunits are also found."
TIGR01845	17.36232778	-0.291912542	0.370237418	-0.788446892	0.430435351	0.753946736	Transport and binding proteins		outer_NodT	"efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family"	NA	NA	Members of this HMM comprise a subfamily of the Outer Membrane Factor (TCDB 1.B.17) porins.
TIGR00706	6.98570517	-0.294930927	0.374460237	-0.787616144	0.430921269	0.753946736	Protein fate		SppA_dom	"signal peptide peptidase SppA, 36K type"	sppA	3.4.-.-	"The related but duplicated, double-length protein SppA (protease IV) of E. coli was shown experimentally to degrade signal peptides as are released by protein processing and secretion. This protein shows stronger homology to the C-terminal region of SppA than to the N-terminal domain or to the related putative protease SuhB. The member of this family from Bacillus subtilis was shown to have properties consistent with a role in degrading signal peptides after cleavage from precursor proteins, although it was not demonstrated conclusively."
TIGR03707	23.7255723	-0.448632156	0.570736868	-0.78605778	0.431833637	0.754384222	Central intermediary metabolism		PPK2_P_aer	"polyphosphate kinase 2, PA0141 family"	ppk2	2.7.4.1	Members of this protein family are designated polyphosphate kinase 2 (PPK2) after the characterized protein in Pseudomonas aeruginosa. This family comprises one of three well-separated clades in the larger family described by Pfam model PF03976.
TIGR00810	14.01006226	0.234010961	0.298411909	0.78418774	0.432929958	0.755141228	Protein fate		secG	"protein translocase, SecG subunit"	secG	NA	This family of proteins forms a complex with SecY and SecE. SecA then recruits the SecYEG complex to form an active protein translocation channel.
TIGR00879	10.49083946	-0.426683101	0.545005023	-0.782897556	0.433687273	0.755305511	Transport and binding proteins		SP	"MFS transporter, sugar porter (SP) family"	NA	NA	This HMM represent the sugar porter subfamily of the major facilitator superfamily (PF00083)
TIGR01241	484.1358534	0.118350358	0.151697854	0.780171602	0.435289875	0.75594101	Cellular processes		FtsH_fam	ATP-dependent metalloprotease FtsH	hflB	3.4.24.-	HflB(FtsH) is a pleiotropic protein required for correct cell division in bacteria. It has ATP-dependent zinc metalloprotease activity. It was formerly designated cell division protein FtsH.
TIGR00665	33.77229781	0.186224722	0.238890541	0.779539957	0.43566171	0.75594101	DNA metabolism		DnaB	replicative DNA helicase	dnaB	3.6.4.12	"This HMM describes the helicase DnaB, a homohexameric protein required for DNA replication. The homohexamer can form a ring around a single strand of DNA near a replication fork. An intein of > 400 residues is found at a conserved location in DnaB of Synechocystis PCC6803, Rhodothermus marinus (both experimentally confirmed), and Mycobacterium tuberculosis. The intein removes itself by a self-splicing reaction. The seed alignment contains inteins so that the model built from the seed alignment will model a low cost at common intein insertion sites."
TIGR03960	10.49131042	0.288538402	0.370655224	0.778454973	0.436300841	0.75594101	Unknown function		rSAM_fuse_unch	radical SAM family uncharacterized protein	NA	NA	"This HMM describes a radical SAM protein, or protein region, regularly found paired with or fused to a region described by TIGR03936. PSI-BLAST analysis of TIGR03936 suggests a relationship to the tRNA pseudouridine synthase TruA, suggesting that this system may act in RNA modification."
TIGR03999	16.96031253	-0.251925369	0.323908914	-0.777766089	0.436706923	0.75594101	"Biosynthesis of cofactors, prosthetic groups, and carriers"		thiol_BshA	N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA	bshA	2.4.1.-	"Members of this protein family are BshA, a glycosyltransferase required for bacillithiol biosynthesis. This enzyme combines UDP-GlcNAc and L-malate to form N-acetyl-alpha-D-glucosaminyl L-malate synthase. Bacillithiol is a low-molecular-weight thiol, an analog of glutathione and mycothiol, and is found largely in the Firmicutes."
TIGR02948	79.71045323	0.27719355	0.358436804	0.773340088	0.439321137	0.757178146	NA		SigW_bacill	RNA polymerase sigma-W factor	sigW	NA	This sigma factor is restricted to certain lineages of the order Bacillales.
TIGR00621	82.03346216	0.192697624	0.24922692	0.773181421	0.43941502	0.757178146	DNA metabolism		ssb	single stranded DNA-binding protein (ssb)	ssb	NA	"All proteins in this family for which functions are known are single-stranded DNA binding proteins that function in many processes including transcription, repair, replication and recombination. Members encoded between genes for ribosomal proteins S6 and S18 should be annotated as primosomal protein N (PriB). Forms in gamma-protoeobacteria are much shorter and poorly recognized by this model. Additional members of this family include phage proteins. Eukaryotic members are organellar proteins."
TIGR02490	4.831263024	0.337545311	0.436597476	0.773127033	0.439447204	0.757178146	Cellular processes		flgF	flagellar basal-body rod protein FlgF	flgF	NA	"Members of this protein are FlgF, one of several homologous flagellar basal-body rod proteins in bacteria."
TIGR00222	20.40743848	-0.214345433	0.277629054	-0.772056924	0.440080713	0.757178146	"Biosynthesis of cofactors, prosthetic groups, and carriers"		panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	panB	2.1.2.11	"Members of this family are 3-methyl-2-oxobutanoate hydroxymethyltransferase, the first enzyme of the pantothenate biosynthesis pathway. An alternate name is ketopantoate hydroxymethyltransferase."
TIGR01522	17.18434685	-0.273935814	0.359103438	-0.762832615	0.445563228	0.765454776	NA		ATPase-IIA2_Ca	golgi membrane calcium-translocating P-type ATPase	NA	3.6.3.8	"This model describes the P-type ATPase responsible for translocating calcium ions across the golgi membrane of fungi and animals [1,2], and is of particular importance in the sarcoplasmic reticulum of skeletal and cardiac muscle in vertebrates [2].  The calcium P-type ATPases have been characterized as Type IIA based on a phylogenetic analysis which distinguishes this group from the Type IIB PMCA calcium pump [3] modelled by TIGR01517."
TIGR00580	32.23509117	-0.19345089	0.254117978	-0.761264083	0.446499349	0.765907768	DNA metabolism		mfd	transcription-repair coupling factor (mfd)	mfd	3.6.1.-	All proteins in this family for which functions are known are DNA-dependent ATPases that function in the process of transcription-coupled DNA repair in which the repair of the transcribed strand of actively transcribed genes is repaired at a higher rate than the repair of non-transcribed regions of the genome and than the non-transcribed strand of the same gene.
TIGR00998	31.93851574	-0.285290879	0.375821224	-0.759113271	0.447784801	0.766957727	Transport and binding proteins		8a0101	efflux pump membrane protein (multidrug resistance protein A)	NA	NA	NA
TIGR00459	43.8755452	0.142670706	0.18873921	0.755914501	0.449700459	0.769082317	Protein synthesis		aspS_bact	"aspartyl-tRNA synthetase, bacterial type"	aspS	6.1.1.-	"Asparate--tRNA ligases in this family may be discriminating (6.1.1.12) or nondiscriminating (6.1.1.23). In a multiple sequence alignment of representative asparaginyl-tRNA synthetases (asnS), archaeal/eukaryotic type aspartyl-tRNA synthetases (aspS_arch), and bacterial type aspartyl-tRNA synthetases (aspS_bact), there is a striking similarity between asnS and aspS_arch in gap pattern and in sequence, and a striking divergence of aspS_bact. Consequently, a separate model was built for each of the three groups. This HMM, aspS_bact, represents aspartyl-tRNA synthetases from the Bacteria and from mitochondria. In some species, this enzyme aminoacylates tRNA for both Asp and Asn; Asp-tRNA(asn) is subsequently transamidated to Asn-tRNA(asn). This model generates very low scores for the archaeal type of aspS and for asnS; scores between the trusted and noise cutoffs represent fragmentary sequences."
TIGR00709	9.775154151	0.286702878	0.380899602	0.752699337	0.451630608	0.770867256	Central intermediary metabolism		dat	"2,4-diaminobutyrate 4-transaminases"	NA	"This family consists of L-diaminobutyric acid transaminases. This general designation covers both 2.6.1.76 (diaminobutyrate-2-oxoglutarate transaminase, which uses glutamate as the amino donor in DABA biosynthesis), and 2.6.1.46 (diaminobutyrate--pyruvate transaminase, which uses alanine as the amino donor). Most members with known function are 2.6.1.76, and at least some annotations as 2.6.1.46 in current databases at time of model revision are incorrect."	"This family consists of L-diaminobutyric acid transaminases. This general designation covers both 2.6.1.76 (diaminobutyrate-2-oxoglutarate transaminase, which uses glutamate as the amino donor in DABA biosynthesis), and 2.6.1.46 (diaminobutyrate--pyruvate transaminase, which uses alanine as the amino donor). Most members with known function are 2.6.1.76, and at least some annotations as 2.6.1.46 in current databases at time of model revision are incorrect."
TIGR01650	16.0021917	0.285301384	0.379429304	0.751922376	0.452097741	0.770867256	"Biosynthesis of cofactors, prosthetic groups, and carriers"		PD_CobS	"cobaltochelatase, CobS subunit"	cobS	6.6.1.2	"This model describes Pseudomonas denitrificans CobS gene product, which is a cobalt chelatase subunit that functions in cobalamin biosynthesis. Cobalamin (vitamin B12) can be synthesized via several pathways, including an aerobic pathway (found in Pseudomonas denitrificans) and an anaerobic pathway (found in P. shermanii and Salmonella typhimurium). This model describes the aerobic cobalamin pathway Pseudomonas denitrificans CobS gene product, which is a cobalt chelatase subunit, with a MW ~37 kDa [4]."
TIGR04191	39.21189898	-0.280026468	0.373979523	-0.748774869	0.453992909	0.771001354	NA		YphP_YqiW	"putative bacilliredoxin, YphP/YqiW family"	NA	1.-.-.-	"This protein family is one of several observed in species that express bacillithiol, an analog of glutathione and mycothiol. Rather than being involved in bacillithiol biosynthesis, members are likely to act in bacillithiol-dependent processes. A suggested term is bacilliredoxin (a glutaredoxin-like thiol-dependent oxidoreductase), and a suggested role of YphP is de-bacillithiolation - removing bacillithiol that became linked to protein thiols under oxidative stress. An older description of YphP as a disulphide isomerase therefore may be wrong."
TIGR00174	3.451441487	0.323256681	0.431726183	0.748753943	0.454005524	0.771001354	Protein synthesis		miaA	tRNA dimethylallyltransferase	miaA	2.5.1.75	"Alternate names include delta(2)-isopentenylpyrophosphate transferase, IPP transferase, 2-methylthio-N6-isopentyladenosine tRNA modification enzyme. Catalyzes the first step in the modification of an adenosine near the anticodon to 2-methylthio-N6-isopentyladenosine. Understanding of substrate specificity has changed."
TIGR01341	73.25891665	-0.15472844	0.206740237	-0.748419575	0.454207119	0.771001354	Energy metabolism		aconitase_1	aconitate hydratase 1	acnA	4.2.1.3	"This HMM represents one form of the TCA cycle enzyme aconitate hydratase, also known as aconitase and citrate hydro-lyase. It is found in bacteria, archaea, and eukaryotic cytosol. It has been shown to act also as an iron-responsive element binding protein in animals and may have the same role in other eukaryotes."
TIGR03450	56.81539817	-0.352157919	0.472170281	-0.745828218	0.455771192	0.772505041	NA		mycothiol_INO1	"inositol 1-phosphate synthase, Actinobacterial type"	NA	5.5.1.-	"This enzyme, inositol 1-phosphate synthase as found in Actinobacteria, produces an essential precursor for several different products, including mycothiol, which is a glutathione analog, and phosphatidylinositol, which is a phospholipid."
TIGR03025	92.95762725	0.136286776	0.183317569	0.743446342	0.457211496	0.773794791	NA		EPS_sugtrans	exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase	NA	NA	Members of this family are generally found near other genes involved in the biosynthesis of a variety of exopolysaccharides. Certain closely related transferase enzymes such as Sinorhizobium ExoY [9] and Lactococcus EpsD [10] lack the N-terminal domain and are not found by this model.
TIGR00190	60.45305151	-0.17451373	0.235422589	-0.74127861	0.458524529	0.77473926	"Biosynthesis of cofactors, prosthetic groups, and carriers"		thiC	phosphomethylpyrimidine synthase	thiC	4.1.99.17	The thiC ortholog is designated thiA in Bacillus subtilis.
TIGR00510	30.34701438	-0.150674122	0.203827338	-0.739224302	0.459770807	0.77473926	"Biosynthesis of cofactors, prosthetic groups, and carriers"		lipA	lipoate synthase	lipA	2.8.1.8	"This enzyme is an iron-sulfur protein. It is localized to mitochondria in yeast and Arabidopsis. It generates lipoic acid, a thiol antioxidant that is linked to a specific Lys as prosthetic group for the pyruvate and alpha-ketoglutarate dehydrogenase complexes and the glycine-cleavage system. The family shows strong sequence conservation."
TIGR00527	21.81531424	-0.171845213	0.232487313	-0.739159531	0.459810131	0.77473926	Energy metabolism		gcvH	glycine cleavage system H protein	gcvH	NA	"This model represents the glycine cleavage system H protein, which shuttles the methylamine group of glycine from the P protein to the T protein. The mature protein is about 130 residues long and contains a lipoyl group covalently bound to a conserved Lys residue. The genome of Aquifex aeolicus contains one protein scoring above the trusted cutoff and clustering with other bacterial H proteins, and four more proteins clustering together and scoring below the trusted cutoff; it seems doubtful that all of these homologs are authentic H protein. The Chlamydial homolog of H protein is nearly as divergent as the Aquifex outgroup, is not accompanied by P and T proteins, is not included in the seed alignment, and consequently also scores below the trusted cutoff."
TIGR03350	21.8534571	-0.254047829	0.346232509	-0.733749207	0.463101602	0.779132533	Cellular processes		type_VI_ompA	type VI secretion system peptidoglycan-associated domain	NA	NA	"The flagellar motor protein MotB, the Gram-negative bacterial outer membrane protein OmpA (with an N-terminal outer membrane beta barrel domain) share a C-terminal peptidoglycan-associating homology region. This model describes a domain found fused to type VI secretion system homologs of the type IV system protein DotU (see model TIGR03349), with OmpA/MotB homology."
TIGR00875	22.3657002	0.174098118	0.237826435	0.732038548	0.46414504	0.779374951	Energy metabolism		fsa_talC_mipB	"fructose-6-phosphate aldolase, TalC/MipB family"	fsa	4.1.2.-	"This HMM represents a family that includes the E. coli transaldolase homologs TalC and MipB, both shown to be fructose-6-phosphate aldolases rather than transaldolases as previously thought. It is related to but distinct from the transaldolase family of E. coli TalA and TalB. The member from Bacillus subtilis becomes phosphorylated during early stationary phase but not during exponential growth."
TIGR03023	74.28088367	0.139329706	0.190531124	0.731270057	0.464614216	0.779374951	NA		WcaJ_sugtrans	Undecaprenyl-phosphate glucose phosphotransferase	NA	2.7.8.-	"This family of proteins encompasses the E. coli WcaJ protein involved in colanic acid biosynthesis [1], the Methylobacillus EpsB protein involved in methanolan biosynthesis [2], as well as the GumD protein involved in the biosynthesis of xanthan [3]. Most of these genes are found within large operons dedicated to the production of complex exopolysaccharides such as the enterobacterial O-antigen. Colanic acid biosynthesis utilizes a glucose-undecaprenyl carrier [1], knockout of EpsB abolishes incorporation of UDP-glucose into the lipid phase [2] and the C-terminal portion of GumD has been shown to be responsible for the glucosyl-1-transferase activity [3]."
TIGR01187	121.5166684	0.127529359	0.17538755	0.727128915	0.467146987	0.782471203	Transport and binding proteins		potA	spermidine/putrescine ABC transporter ATP-binding subunit	NA	3.6.3.31	"This model describes spermidine/putrescine ABC transporter, ATP binding subunit in bacteria and its equivalents in archaea. This transport system belong to the larger ATP-Binding Cassette (ABC) transporter superfamily. The characteristic feature of these transporter is the obligatory coupling of ATP hydrolysis to substrate translocation. The minimal configuration of bacterial ABC transport system: an ATPase or ATP binding subunit; An integral membrane protein; a hydrophilic polypetpide, which likely functions as substrate binding protein. Polyamines like spermidine and putrescine play vital role in cell proliferation, differentiation, and ion homeostasis. The concentration of polyamines within the cell are regulated by biosynthesis, degradation and transport (uptake and efflux included)."
TIGR01235	59.1184972	0.136394896	0.188133888	0.724988449	0.468459117	0.78351679	Energy metabolism		pyruv_carbox	pyruvate carboxylase	pyc	6.4.1.1	This enzyme plays a role in gluconeogensis but not glycolysis.
TIGR00092	26.50363935	-0.1789028	0.248827646	-0.718982809	0.472151512	0.78794849	Unknown function		TIGR00092	GTP-binding protein YchF	ychF	NA	"This predicted GTP-binding protein is found in a single copy in every complete bacterial genome, and is found in Eukaryotes. A more distantly related protein, separated from this model, is found in the archaea. It is known to bind GTP and double-stranded nucleic acid. It is suggested to belong to a nucleoprotein complex and act as a translation factor."
TIGR00224	45.86410418	-0.188652318	0.262641566	-0.718288125	0.472579651	0.78794849	Energy metabolism		pckA	phosphoenolpyruvate carboxykinase (ATP)	pckA	Involved in the gluconeogenesis pathway. It converts oxaloacetic acid to	Involved in the gluconeogenesis pathway. It converts oxaloacetic acid to
TIGR01469	10.38352311	-0.277429777	0.386765291	-0.717307845	0.473184168	0.78794849	"Biosynthesis of cofactors, prosthetic groups, and carriers"		cobA_cysG_Cterm	uroporphyrin-III C-methyltransferase	cobA	2.1.1.107	"This HMM represents enzymes, or enzyme domains, with"
TIGR02339	66.83854974	-0.28062469	0.392440016	-0.715076644	0.474561685	0.788558787	Protein fate		thermosome_arch	"thermosome, various subunits, archaeal"	NA	NA	"Thermosome is the name given to the archaeal rather than eukaryotic form of the group II chaperonin (counterpart to the group I chaperonin, GroEL/GroES, in bacterial), a torroidal, ATP-dependent molecular chaperone that assists in the folding or refolding of nascent or denatured proteins. Various homologous subunits, one to five per archaeal genome, may be designated alpha, beta, etc., but phylogenetic analysis does not show distinct alpha subunit and beta subunit lineages traceable to ancient paralogs."
TIGR02333	33.30927043	-0.168486554	0.23581965	-0.714472074	0.474935319	0.788558787	NA		2met_isocit_dHY	"2-methylisocitrate dehydratase, Fe/S-dependent"	acnD	4.2.1.99	"Members of this family appear in an operon for the degradation of propionyl-CoA via 2-methylcitrate. This family is homologous to aconitases A and B and appears to act the part as 2-methylisocitrate dehydratase, the enzyme after PrpD and before PrpB. In Escherichia coli, which lacks a member of this family, 2-methylisocitrate dehydratase activity was traced to aconitase B (TIGR00117) (PMID:12473114)."
TIGR01393	156.9514051	0.1070598	0.150532633	0.711206585	0.476956229	0.789718682	Unknown function		lepA	elongation factor 4	lepA	3.6.5.-	"LepA (GUF1 in Saccaromyces), now called elongation factor 4, is a GTP-binding membrane protein related to EF-G and EF-Tu. Two types of phylogenetic tree, rooted by other GTP-binding proteins, suggest that eukaryotic homologs (including GUF1 of yeast) originated within the bacterial LepA family. The function is unknown."
